,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
0,4,0.2,8,0.2,0.376475271,0.1570814
1,13,0.2,8,0.2,0.378877875,0.072080635
2,22,0.2,8,0.2,0.378884567,0.20378888
3,31,0.2,8,0.2,0.379078385,0.33184585
4,40,0.2,8,0.2,0.378901794,0.44229063
5,4,0.3,8,0.2,1.034400357,1.0817313
6,13,0.3,8,0.2,1.057845861,1.0613282
7,22,0.3,8,0.2,1.057876303,1.0946722
8,31,0.3,8,0.2,1.057808548,1.126779
9,40,0.3,8,0.2,1.057821491,1.1550107
10,4,0.4,8,0.2,1.23360731,1.3066244
11,13,0.4,8,0.2,1.290636267,1.3768201
12,22,0.4,8,0.2,1.29075043,1.3893069
13,31,0.4,8,0.2,1.290735817,1.3988432
14,40,0.4,8,0.2,1.290738558,1.4116147
15,4,0.5,8,0.2,1.357598395,1.4085011
16,13,0.5,8,0.2,1.460882793,1.5374352
17,22,0.5,8,0.2,1.461120344,1.55337
18,31,0.5,8,0.2,1.461102592,1.5579381
19,40,0.5,8,0.2,1.461087249,1.5678309
20,4,0.6,8,0.2,1.357100893,1.4519603
21,13,0.6,8,0.2,1.524142009,1.6242573
22,22,0.6,8,0.2,1.524452919,1.6520483
23,31,0.6,8,0.2,1.524460185,1.6553811
24,40,0.6,8,0.2,1.524445487,1.6644464
25,4,0.7,8,0.2,1.234700981,1.4497867
26,13,0.7,8,0.2,1.473898022,1.6570626
27,22,0.7,8,0.2,1.48833966,1.7030301
28,31,0.7,8,0.2,1.472877031,1.7067454
29,40,0.7,8,0.2,1.474927965,1.7154595
30,4,0.2,20,0.2,0.846121565,1.0253336
31,13,0.2,20,0.2,0.863562377,1.0238688
32,22,0.2,20,0.2,0.864373016,1.1119623
33,31,0.2,20,0.2,1.43989594,1.1978995
34,40,0.2,20,0.2,1.439737912,1.2761483
35,4,0.3,20,0.2,1.981730305,2.0288317
36,13,0.3,20,0.2,2.094817288,2.186371
37,22,0.3,20,0.2,2.099972278,2.1920211
38,31,0.3,20,0.2,2.100110387,2.201361
39,40,0.3,20,0.2,2.100158208,2.220418
40,4,0.4,20,0.2,2.311685337,2.4184444
41,13,0.4,20,0.2,2.584736071,2.7065573
42,22,0.4,20,0.2,2.597273611,2.7105143
43,31,0.4,20,0.2,2.597634601,2.7077303
44,40,0.4,20,0.2,2.597624699,2.7188847
45,4,0.5,20,0.2,2.361388652,2.5247715
46,13,0.5,20,0.2,2.908407914,2.9742713
47,22,0.5,20,0.2,2.932214588,3.006671
48,31,0.5,20,0.2,2.932947319,3.005776
49,40,0.5,20,0.2,2.932996215,3.0182803
50,4,0.6,20,0.2,2.167711473,2.4201243
51,13,0.6,20,0.2,3.058042922,3.079923
52,22,0.6,20,0.2,3.097828093,3.1617503
53,31,0.6,20,0.2,3.098970559,3.1657796
54,40,0.6,20,0.2,3.099119166,3.1803837
55,4,0.7,20,0.2,1.893468599,2.1593482
56,13,0.7,20,0.2,3.068817231,3.062988
57,22,0.7,20,0.2,3.122799695,3.213634
58,31,0.7,20,0.2,3.124374906,3.2234595
59,40,0.7,20,0.2,3.124573455,3.2391577
60,4,0.2,32,0.2,2.271225002,2.1118393
61,13,0.2,32,0.2,2.337802847,2.168416
62,22,0.2,32,0.2,2.345726955,2.197163
63,31,0.2,32,0.2,2.345545211,2.2361104
64,40,0.2,32,0.2,2.34573248,2.2812774
65,4,0.3,32,0.2,2.98963009,3.0324218
66,13,0.3,32,0.2,3.221628987,3.2968147
67,22,0.3,32,0.2,3.25070388,3.2942424
68,31,0.3,32,0.2,3.25108966,3.299263
69,40,0.3,32,0.2,3.251055504,3.322153
70,4,0.4,32,0.2,3.272937545,3.4146385
71,13,0.4,32,0.2,3.874379986,3.9845307
72,22,0.4,32,0.2,3.943935184,4.016773
73,31,0.4,32,0.2,3.945064456,4.0244026
74,40,0.4,32,0.2,3.945505347,4.0514297
75,4,0.5,32,0.2,3.149902523,3.3954928
76,13,0.5,32,0.2,4.328464173,4.4046345
77,22,0.5,32,0.2,4.461168314,4.5090303
78,31,0.5,32,0.2,4.463381873,4.5248647
79,40,0.5,32,0.2,4.464330956,4.5572147
80,4,0.6,32,0.2,2.807404822,3.0460832
81,13,0.6,32,0.2,4.572020073,4.574806
82,22,0.6,32,0.2,4.788093268,4.7857323
83,31,0.6,32,0.2,4.791776747,4.8115225
84,40,0.6,32,0.2,4.79339712,4.8471966
85,4,0.7,32,0.2,2.298799328,2.5024512
86,13,0.7,32,0.2,4.426097862,4.5405064
87,22,0.7,32,0.2,4.723693031,4.892159
88,31,0.7,32,0.2,4.728643646,4.9288025
89,40,0.7,32,0.2,5.152893,4.965177
90,4,0.2,8,0.4,0.58454933,0.65948105
91,13,0.2,8,0.4,0.590986318,0.5951477
92,22,0.2,8,0.4,0.591174305,0.6564266
93,31,0.2,8,0.4,0.590834587,0.7126227
94,40,0.2,8,0.4,0.590879119,0.7594456
95,4,0.3,8,0.4,1.391172392,1.4570382
96,13,0.3,8,0.4,1.432558428,1.507518
97,22,0.3,8,0.4,1.432477676,1.5052621
98,31,0.3,8,0.4,1.432506984,1.50487
99,40,0.3,8,0.4,1.43250892,1.5082303
100,4,0.4,8,0.4,1.785765118,1.8979752
101,13,0.4,8,0.4,1.893028379,2.0517037
102,22,0.4,8,0.4,1.893156686,2.038396
103,31,0.4,8,0.4,1.893136841,2.0242596
104,40,0.4,8,0.4,1.892882662,2.0190156
105,4,0.5,8,0.4,2.169964586,2.2149258
106,13,0.5,8,0.4,2.375017403,2.471108
107,22,0.5,8,0.4,2.375363725,2.464473
108,31,0.5,8,0.4,2.375359123,2.445907
109,40,0.5,8,0.4,2.375521877,2.4380639
110,4,0.6,8,0.4,2.334106882,2.3943698
111,13,0.6,8,0.4,2.658381238,2.766775
112,22,0.6,8,0.4,2.659193851,2.7830448
113,31,0.6,8,0.4,2.658964355,2.7650685
114,40,0.6,8,0.4,2.65891962,2.757371
115,4,0.7,8,0.4,2.269124384,2.4469333
116,13,0.7,8,0.4,2.790202086,2.9471483
117,22,0.7,8,0.4,2.792470881,3.0025725
118,31,0.7,8,0.4,2.791348027,2.9880927
119,40,0.7,8,0.4,2.792487713,2.981825
120,4,0.2,20,0.4,2.485593911,2.4642227
121,13,0.2,20,0.4,2.54598006,2.504138
122,22,0.2,20,0.4,2.548719375,2.5147512
123,31,0.2,20,0.4,2.548746958,2.5356987
124,40,0.2,20,0.4,2.548634484,2.5622416
125,4,0.3,20,0.4,3.702965746,3.8120255
126,13,0.3,20,0.4,3.930186542,4.0055804
127,22,0.3,20,0.4,3.940883426,3.986508
128,31,0.3,20,0.4,3.941149561,3.9736454
129,40,0.3,20,0.4,3.9410448,3.9715312
130,4,0.4,20,0.4,4.497465219,4.579333
131,13,0.4,20,0.4,5.032780148,5.058218
132,22,0.4,20,0.4,5.059108756,5.0664806
133,31,0.4,20,0.4,5.059847027,5.0509777
134,40,0.4,20,0.4,5.059788208,5.04307
135,4,0.5,20,0.4,4.800448924,4.9669642
136,13,0.5,20,0.4,5.795628809,5.8583817
137,22,0.5,20,0.4,5.846037891,5.9203835
138,31,0.5,20,0.4,5.847516455,5.9036365
139,40,0.5,20,0.4,5.847632829,5.890143
140,4,0.6,20,0.4,4.836208502,4.982263
141,13,0.6,20,0.4,6.463990958,6.3704376
142,22,0.6,20,0.4,6.547209885,6.5164967
143,31,0.6,20,0.4,6.549636156,6.5011477
144,40,0.6,20,0.4,6.550033505,6.4833107
145,4,0.7,20,0.4,4.367292088,4.6664815
146,13,0.7,20,0.4,6.614418191,6.60296
147,22,0.7,20,0.4,6.730736408,6.8705444
148,31,0.7,20,0.4,6.734110275,6.861137
149,40,0.7,20,0.4,6.734572201,6.841432
150,4,0.2,32,0.4,4.299002115,4.3137894
151,13,0.2,32,0.4,4.43229333,4.455606
152,22,0.2,32,0.4,4.449031174,4.4456873
153,31,0.2,32,0.4,4.449113262,4.4506745
154,40,0.2,32,0.4,4.448561527,4.4664936
155,4,0.3,32,0.4,5.974382033,5.876334
156,13,0.3,32,0.4,6.441615669,6.4894814
157,22,0.3,32,0.4,6.502274777,6.502136
158,31,0.3,32,0.4,6.503124199,6.5014763
159,40,0.3,32,0.4,6.503242676,6.5105987
160,4,0.4,32,0.4,6.914731562,6.973546
161,13,0.4,32,0.4,7.986474107,8.158949
162,22,0.4,32,0.4,8.133581606,8.233673
163,31,0.4,32,0.4,8.135978905,8.235513
164,40,0.4,32,0.4,8.143942941,8.240571
165,4,0.5,32,0.4,7.135924583,7.3364305
166,13,0.5,32,0.4,9.13512179,9.263427
167,22,0.5,32,0.4,9.417809872,9.455059
168,31,0.5,32,0.4,9.422605901,9.471895
169,40,0.5,32,0.4,9.427173107,9.480305
170,4,0.6,32,0.4,6.734727324,7.0643024
171,13,0.6,32,0.4,9.863639349,9.914514
172,22,0.6,32,0.4,10.3327662,10.280234
173,31,0.6,32,0.4,10.34063847,10.313262
174,40,0.6,32,0.4,10.34418111,10.323537
175,4,0.7,32,0.4,5.961699705,6.3917584
176,13,0.7,32,0.4,10.13431801,10.176806
177,22,0.7,32,0.4,10.80553621,10.778067
178,31,0.7,32,0.4,10.81656855,10.827467
179,40,0.7,32,0.4,10.82185275,10.837434
180,4,0.2,8,0.6,0.873732,0.5727506
181,13,0.2,8,0.6,0.495802921,0.46407077
182,22,0.2,8,0.6,0.49574829,0.463752
183,31,0.2,8,0.6,0.4957587,0.4745942
184,40,0.2,8,0.6,0.495734623,0.49018002
185,4,0.3,8,0.6,1.072192584,1.4863735
186,13,0.3,8,0.6,1.108954282,1.4797646
187,22,0.3,8,0.6,1.108920372,1.444943
188,31,0.3,8,0.6,1.108889454,1.424176
189,40,0.3,8,0.6,1.10902065,1.4142431
190,4,0.4,8,0.6,2.116756086,2.2035391
191,13,0.4,8,0.6,2.262759093,2.2892146
192,22,0.4,8,0.6,2.257244341,2.245763
193,31,0.4,8,0.6,2.266358884,2.2138402
194,40,0.4,8,0.6,2.262973541,2.1951602
195,4,0.5,8,0.6,2.718090208,2.7867754
196,13,0.5,8,0.6,3.003831683,3.0200293
197,22,0.5,8,0.6,3.004511053,2.9865541
198,31,0.5,8,0.6,2.520823467,2.9497817
199,40,0.5,8,0.6,2.521006116,2.9254746
200,4,0.6,8,0.6,2.968299863,3.1830525
201,13,0.6,8,0.6,3.48112297,3.6341581
202,22,0.6,8,0.6,3.490772151,3.6304524
203,31,0.6,8,0.6,3.494124559,3.5917494
204,40,0.6,8,0.6,3.486466502,3.5627012
205,4,0.7,8,0.6,3.244409442,3.3824923
206,13,0.7,8,0.6,3.941105415,4.1003
207,22,0.7,8,0.6,3.941120262,4.1473002
208,31,0.7,8,0.6,3.93365609,4.1082897
209,40,0.7,8,0.6,3.933864462,4.075062
210,4,0.2,20,0.6,3.287798298,3.3522856
211,13,0.2,20,0.6,3.373926588,3.3817897
212,22,0.2,20,0.6,3.377880321,3.3610408
213,31,0.2,20,0.6,3.377543949,3.3547385
214,40,0.2,20,0.6,3.377712576,3.3575237
215,4,0.3,20,0.6,5.052206302,5.106845
216,13,0.3,20,0.6,5.378791829,5.433768
217,22,0.3,20,0.6,5.394376904,5.4198174
218,31,0.3,20,0.6,5.394643486,5.400947
219,40,0.3,20,0.6,5.394461398,5.3863406
220,4,0.4,20,0.6,6.273718196,6.435218
221,13,0.4,20,0.6,7.042155115,7.2318854
222,22,0.4,20,0.6,7.080421403,7.2472854
223,31,0.4,20,0.6,7.081529565,7.2155113
224,40,0.4,20,0.6,7.081302481,7.1815886
225,4,0.5,20,0.6,7.108674727,7.237553
226,13,0.5,20,0.6,8.560136621,8.614973
227,22,0.5,20,0.6,8.636318543,8.691794
228,31,0.5,20,0.6,8.638423711,8.651896
229,40,0.5,20,0.6,8.638542469,8.601666
230,4,0.6,20,0.6,7.30018979,7.451052
231,13,0.6,20,0.6,9.61445278,9.566162
232,22,0.6,20,0.6,9.740216019,9.749651
233,31,0.6,20,0.6,9.743771896,9.707088
234,40,0.6,20,0.6,9.744178767,9.643986
235,4,0.7,20,0.6,6.953293198,7.1657367
236,13,0.7,20,0.6,10.19230824,10.143231
237,22,0.7,20,0.6,10.37261676,10.488951
238,31,0.7,20,0.6,10.37782894,10.448611
239,40,0.7,20,0.6,10.37862215,10.375537
240,4,0.2,32,0.6,5.988916642,6.0337157
241,13,0.2,32,0.6,6.182652397,6.315213
242,22,0.2,32,0.6,6.206658065,6.2845807
243,31,0.2,32,0.6,6.206943173,6.26517
244,40,0.2,32,0.6,6.206613952,6.254459
245,4,0.3,32,0.6,8.760481681,8.641513
246,13,0.3,32,0.6,9.457995669,9.461155
247,22,0.3,32,0.6,9.548694187,9.480908
248,31,0.3,32,0.6,9.547704002,9.4669695
249,40,0.3,32,0.6,9.54790966,9.449576
250,4,0.4,32,0.6,10.34796565,10.3483715
251,13,0.4,32,0.6,11.9313288,11.959384
252,22,0.4,32,0.6,12.15436006,12.090005
253,31,0.4,32,0.6,12.15796397,12.0899935
254,40,0.4,32,0.6,12.15928951,12.067299
255,4,0.5,32,0.6,10.93311724,11.079277
256,13,0.5,32,0.6,13.79826352,13.89178
257,22,0.5,32,0.6,14.2335446,14.194935
258,31,0.5,32,0.6,14.24079248,14.203866
259,40,0.5,32,0.6,14.2437512,14.169289
260,4,0.6,32,0.6,10.69233769,10.980828
261,13,0.6,32,0.6,15.08945863,15.196239
262,22,0.6,32,0.6,15.80874189,15.7503805
263,31,0.6,32,0.6,15.82081877,15.772798
264,40,0.6,32,0.6,15.82609547,15.729173
265,4,0.7,32,0.6,9.862870114,10.314385
266,13,0.7,32,0.6,15.78518793,15.894019
267,22,0.7,32,0.6,16.82658618,16.787945
268,31,0.7,32,0.6,16.82658618,16.832554
269,40,0.7,32,0.6,16.85214132,16.78638
270,4,0.2,8,0.8,0.006629657,0.22454302
271,13,0.2,8,0.8,0.006729073,0.17709538
272,22,0.2,8,0.8,0.006728393,0.18678655
273,31,0.2,8,0.8,0.006729717,0.20337588
274,40,0.2,8,0.8,0.006727761,0.22352774
275,4,0.3,8,0.8,1.186723194,1.1566375
276,13,0.3,8,0.8,1.224535595,1.1740129
277,22,0.3,8,0.8,1.224193676,1.1623574
278,31,0.3,8,0.8,1.224606375,1.1600822
279,40,0.3,8,0.8,1.224514905,1.1642554
280,4,0.4,8,0.8,1.639735699,1.9542292
281,13,0.4,8,0.8,1.757708859,2.034694
282,22,0.4,8,0.8,1.757831707,2.016776
283,31,0.4,8,0.8,1.757637657,2.007872
284,40,0.4,8,0.8,1.757919061,2.0068805
285,4,0.5,8,0.8,2.740453226,2.741312
286,13,0.5,8,0.8,3.058640595,2.9934688
287,22,0.5,8,0.8,3.059796762,2.9803295
288,31,0.5,8,0.8,3.0589008,2.9611213
289,40,0.5,8,0.8,2.578057385,2.9487891
290,4,0.6,8,0.8,3.128159215,3.3696935
291,13,0.6,8,0.8,3.698870564,3.9058094
292,22,0.6,8,0.8,3.702782566,3.910314
293,31,0.6,8,0.8,3.69979454,3.875737
294,40,0.6,8,0.8,3.698536807,3.8464692
295,4,0.7,8,0.8,3.852597422,3.7097142
296,13,0.7,8,0.8,4.733776907,4.5872545
297,22,0.7,8,0.8,4.734914156,4.624225
298,31,0.7,8,0.8,4.698439318,4.573602
299,40,0.7,8,0.8,4.648507104,4.5285378
300,4,0.2,20,0.8,3.485628054,3.4822557
301,13,0.2,20,0.8,3.581709209,3.4981542
302,22,0.2,20,0.8,3.586674467,3.4780326
303,31,0.2,20,0.8,3.586758473,3.4770539
304,40,0.2,20,0.8,2.689801098,3.488183
305,4,0.3,20,0.8,6.149165806,6.1027503
306,13,0.3,20,0.8,6.560777147,6.524301
307,22,0.3,20,0.8,6.580600361,6.516681
308,31,0.3,20,0.8,6.581024427,6.499586
309,40,0.3,20,0.8,6.580796914,6.482742
310,4,0.4,20,0.8,8.005938944,8.094384
311,13,0.4,20,0.8,9.003285326,9.052733
312,22,0.4,20,0.8,9.053729819,9.075952
313,31,0.4,20,0.8,9.054938852,9.03846
314,40,0.4,20,0.8,9.055034838,8.990494
315,4,0.5,20,0.8,9.210837084,9.282039
316,13,0.5,20,0.8,11.10512845,11.006545
317,22,0.5,20,0.8,11.20620521,11.10487
318,31,0.5,20,0.8,11.20880119,11.052733
319,40,0.5,20,0.8,11.20900117,10.977346
320,4,0.6,20,0.8,9.508003638,9.699928
321,13,0.6,20,0.8,12.49562525,12.449082
322,22,0.6,20,0.8,12.6624959,12.6782875
323,31,0.6,20,0.8,12.6669517,12.615419
324,40,0.6,20,0.8,12.66740233,12.515236
325,4,0.7,20,0.8,9.299544081,9.474889
326,13,0.7,20,0.8,13.48758345,13.406811
327,22,0.7,20,0.8,13.72901568,13.83827
328,31,0.7,20,0.8,13.73558041,13.7725935
329,40,0.7,20,0.8,13.73657146,13.653726
330,4,0.2,32,0.8,7.323064556,7.35032
331,13,0.2,32,0.8,7.569453648,7.6555343
332,22,0.2,32,0.8,7.600128879,7.6167045
333,31,0.2,32,0.8,7.600781397,7.588048
334,40,0.2,32,0.8,7.600160189,7.5665774
335,4,0.3,32,0.8,10.98362669,11.013713
336,13,0.3,32,0.8,11.88994921,12.017348
337,22,0.3,32,0.8,12.00940054,12.058824
338,31,0.3,32,0.8,12.01110191,12.04133
339,40,0.3,32,0.8,12.01129979,12.007602
340,4,0.4,32,0.8,13.36054402,13.456227
341,13,0.4,32,0.8,15.44623366,15.565153
342,22,0.4,32,0.8,15.74365672,15.740337
343,31,0.4,32,0.8,15.74835215,15.726868
344,40,0.4,32,0.8,15.75010893,15.671985
345,4,0.5,32,0.8,14.3712817,14.602274
346,13,0.5,32,0.8,18.11220545,18.280022
347,22,0.5,32,0.8,18.69327501,18.694536
348,31,0.5,32,0.8,18.70304348,18.701744
349,40,0.5,32,0.8,18.70705346,18.636772
350,4,0.6,32,0.8,14.48505232,14.653699
351,13,0.6,32,0.8,20.22484915,20.196032
352,22,0.6,32,0.8,21.19490606,20.94782
353,31,0.6,32,0.8,21.21130586,20.984863
354,40,0.6,32,0.8,21.21835265,20.91936
355,4,0.7,32,0.8,13.53055549,13.967686
356,13,0.7,32,0.8,21.19212958,21.341331
357,22,0.7,32,0.8,22.59442661,22.525341
358,31,0.7,32,0.8,22.61817323,22.598995
359,40,0.7,32,0.8,22.62851519,22.541126
360,4,0.2,8,1,0.00627037,-0.017650899
361,13,0.2,8,1,0.006380242,-0.06693226
362,22,0.2,8,1,0.006380528,-0.06352438
363,31,0.2,8,1,0.00641771,-0.0510994
364,40,0.2,8,1,0.006378278,-0.032371625
365,4,0.3,8,1,0.881875488,0.9054393
366,13,0.3,8,1,0.910462412,0.9236014
367,22,0.3,8,1,0.910965452,0.9258741
368,31,0.3,8,1,0.910958308,0.9346775
369,40,0.3,8,1,0.910471415,0.9467498
370,4,0.4,8,1,1.579115465,1.6254063
371,13,0.4,8,1,1.698083574,1.7173783
372,22,0.4,8,1,1.698205407,1.7251983
373,31,0.4,8,1,1.697987436,1.7375958
374,40,0.4,8,1,1.697956998,1.752361
375,4,0.5,8,1,2.215273489,2.5150418
376,13,0.5,8,1,2.48611406,2.7996132
377,22,0.5,8,1,2.487711491,2.8046367
378,31,0.5,8,1,2.486532256,2.7996516
379,40,0.5,8,1,2.075266364,2.7966094
380,4,0.6,8,1,3.388288685,3.1967578
381,13,0.6,8,1,3.982520869,3.7372634
382,22,0.6,8,1,3.982961048,3.7266605
383,31,0.6,8,1,3.982701539,3.685532
384,40,0.6,8,1,3.982615989,3.6522958
385,4,0.7,8,1,2.983844721,3.2482734
